COLUMN_NAME,YEARS_APPEARED
APPLICATION_TYPE,2010
CONTACT ADDRESS 1,2015
CONTACT ADDRESS 2,2015
CONTACT CITY,2015
CONTACT COUNTRY,2015
CONTACT EMAIL,2015
CONTACT EXTENSION,2015
CONTACT FAX,2015
CONTACT FIRST NAME,2015
CONTACT JOB TITLE,2015
CONTACT LAST NAME,2015
CONTACT MIDDLE NAME,2015
CONTACT PHONE,2015
CONTACT POSTAL CODE,2015
CONTACT PROVINCE,2015
CONTACT STATE,2015
DATE_REDETERMINATION_ISSUED,2015
DATE_REQUEST_RECIEVED,2015
DBA_SCA,2020
EDUCATION_LEVEL,2015
EMPLOYER ADDRESS 1,"2014, 2015"
EMPLOYER ADDRESS 2,"2014, 2015"
EMPLOYER CITY,"2014, 2015"
EMPLOYER COUNTRY,2015
EMPLOYER EXTENSION,2015
EMPLOYER PHONE,2015
EMPLOYER POSTAL CODE,"2014, 2015"
EMPLOYER PROVINCE,2015
EMPLOYER STATE,"2014, 2015"
EMPLOYER _ADDRESS_1,2018
EMPLOYER _CITY,2018
EMPLOYER _COUNTRY,2018
EMPLOYER _EXTENSION,2017
EMPLOYER _PHONE,2018
EMPLOYER _PROVINCE,2018
EMPLOYER _STATE,2018
EMPLOYER_ ADDRESS _2,2018
EMPLOYER_ EXTENSION,2018
EMPLOYER_ POSTAL _CODE,2018
EMPLOYER_TRADE_DBA_NAME,"2010, 2011, 2012, 2013, 2014"
EMPLOYER_WORKSITE_COUNTY,2014
EMPLYER_LEGAL_BUSINESS_NAME,2012
EMP_EXP_NUM_MONTHS,2015
NAICS_CODE,"2013, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
NAICS_US_CODE,"2010, 2011, 2014"
NAIC_ID,2015
NAIC_US_CODE,2012
OCCUPATION_REQ,2015
OTHER_EDU,2015
PAY_RANGE_DESC,2015
PREVAILING_WAGE_SOURCE,2015
PREVAIL_WAGE,2015
PREVAIL_WAGE_EXPIRE_DATE,2015
PRIMARY_WORKSITE_CITY,"2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
PW_DETERMINATION_DATE,"2010, 2011, 2012, 2014"
PW_DETERM_DATE,2013
PW_REDETERMINATION_DATE,"2010, 2011, 2012, 2013, 2014"
REQUESTOR_POC_FAX_NUMBER,2020
REQUEST_ACWIA,2015
REQUEST_CBA,2015
REQUEST_DBA_SCA,2015
REQUEST_SURVEY,2015
SOC_CODE,2015
SOC_CODE_NAME,2015
SUGGESTED SOC CODE,2015
SUGGESTED SOC TITLE,2015
SUGGESTED _SOC_CODE,2018
SUPERVISE_HOW_MANY,"2015, 2016, 2017, 2018, 2019, 2020"
SUPERVISE_LEVEL,"2015, 2016, 2017, 2018, 2019"
SUPERVISION_LEVEL,2020
SURVEY,2020
TRAINING_REQ,"2013, 2015"
TRAINING_REQUIRED,"2010, 2011, 2012, 2014, 2016, 2017, 2018, 2019, 2020"
TRAVEL_REQD,"2013, 2015"
TRAVEL_REQUIRED,"2010, 2011, 2012, 2014, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
WAGE_LEVEL,2015
WORKSITE_ADDRESS_1,2015
WORKSITE_ADDRESS_2,2015
WORKSITE_CITY,2015
WORKSITE_COUNTS,"2015, 2016, 2017, 2018, 2019"
WORKSITE_COUNTY,2015
WORKSITE_STATE,2015
WORKSITE_ZIP,2015
WORK_HOUR_NUM_BASIC,"2015, 2016, 2017, 2018"
WORK_HOUR_NUM_OVERTIME,"2015, 2016, 2017, 2018"
